tahun,provinsi,listrik_gwh
2021,KEP. BANGKA BELITUNG,1369.2
2022,KEP. BANGKA BELITUNG,1484.13
2023,KEP. BANGKA BELITUNG,1610.81
2024,KEP. BANGKA BELITUNG,1593.5
2011,KEP. RIAU,2010.3
2012,KEP. RIAU,2190.04
2013,KEP. RIAU,2421.92
2014,KEP. RIAU,2618.48
2015,KEP. RIAU,2694.79
2017,KEP. RIAU,2823.17
2018,KEP. RIAU,2990.44
2019,KEP. RIAU,3346.31
2020,KEP. RIAU,887.6
2021,KEP. RIAU,3478.63
2022,KEP. RIAU,3889.72
2023,KEP. RIAU,4209.39
2024,KEP. RIAU,4664.31
2011,LAMPUNG,2425.94
2012,LAMPUNG,2793.36
2013,LAMPUNG,3182.21
2014,LAMPUNG,3392.44
2015,LAMPUNG,3571.0
2017,LAMPUNG,3998.3
2018,LAMPUNG,4257.15
2019,LAMPUNG,4686.09
2020,LAMPUNG,4959.02
2021,LAMPUNG,5176.94
2022,LAMPUNG,5382.48
2023,LAMPUNG,5761.91
2024,LAMPUNG,5991.85
2011,MALUKU,336.69
2012,MALUKU,397.49
2013,MALUKU,469.96
2014,MALUKU,480.08
2015,MALUKU,509.51
2017,MALUKU,463.05
2018,MALUKU,597.37
2019,MALUKU,519.13
2020,MALUKU,548.12
2021,MALUKU,582.88
2022,MALUKU,607.1
2023,MALUKU,633.56
2024,MALUKU,670.1
2011,MALUKU UTARA,204.67
2012,MALUKU UTARA,235.88
2013,MALUKU UTARA,259.1
2014,MALUKU UTARA,309.37
2015,MALUKU UTARA,329.44
2017,MALUKU UTARA,237.12
2018,MALUKU UTARA,401.48
2019,MALUKU UTARA,537.52
2020,MALUKU UTARA,591.34
2021,MALUKU UTARA,637.04
2022,MALUKU UTARA,672.32
2023,MALUKU UTARA,1018.52
2024,MALUKU UTARA,1356.62
2011,NUSA TENGGARA BARAT,837.17
2012,NUSA TENGGARA BARAT,976.39
2013,NUSA TENGGARA BARAT,1133.33
2014,NUSA TENGGARA BARAT,1291.47
2015,NUSA TENGGARA BARAT,1402.3
2017,NUSA TENGGARA BARAT,1677.54
2018,NUSA TENGGARA BARAT,1776.81
2019,NUSA TENGGARA BARAT,1950.25
2020,NUSA TENGGARA BARAT,2149.42
2021,NUSA TENGGARA BARAT,2290.19
2022,NUSA TENGGARA BARAT,2359.31
2023,NUSA TENGGARA BARAT,2572.6
2024,NUSA TENGGARA BARAT,2853.13
2011,NUSA TENGGARA TIMUR,486.91
2012,NUSA TENGGARA TIMUR,567.32
2013,NUSA TENGGARA TIMUR,639.57
2014,NUSA TENGGARA TIMUR,702.26
2015,NUSA TENGGARA TIMUR,749.76
2017,NUSA TENGGARA TIMUR,855.25
2018,NUSA TENGGARA TIMUR,927.41
2019,NUSA TENGGARA TIMUR,999.49
2020,NUSA TENGGARA TIMUR,1133.48
2021,NUSA TENGGARA TIMUR,1160.16
2022,NUSA TENGGARA TIMUR,1206.91
2023,NUSA TENGGARA TIMUR,1333.25
2024,NUSA TENGGARA TIMUR,1454.14
2011,PAPUA,522.8
2012,PAPUA,600.67
2013,PAPUA,713.26
2014,PAPUA,724.78
2015,PAPUA,763.32
2017,PAPUA,868.01
2018,PAPUA,916.96
2019,PAPUA,1057.65
2020,PAPUA,1132.4
2021,PAPUA,1237.64
2022,PAPUA,1280.52
2023,PAPUA,1342.39
2024,PAPUA,1435.89
2011,PAPUA BARAT,305.08
2012,PAPUA BARAT,346.65
2013,PAPUA BARAT,383.99
2014,PAPUA BARAT,430.63
2015,PAPUA BARAT,455.58
2017,PAPUA BARAT,533.47
2018,PAPUA BARAT,569.02
2019,PAPUA BARAT,510.01
2020,PAPUA BARAT,547.46
2021,PAPUA BARAT,583.21
2022,PAPUA BARAT,621.46
2023,PAPUA BARAT,667.98
2024,PAPUA BARAT,720.64
2011,RIAU,2361.15
2012,RIAU,2723.81
2013,RIAU,3597.44
2014,RIAU,3338.33
2015,RIAU,3586.45
2017,RIAU,4069.93
2018,RIAU,4377.21
2019,RIAU,4646.79
2020,RIAU,4967.05
2021,RIAU,6108.32
2022,RIAU,7691.64
2023,RIAU,8212.56
2024,RIAU,8815.68
2011,SULAWESI BARAT,151.52
2012,SULAWESI BARAT,177.63
2013,SULAWESI BARAT,207.59
2014,SULAWESI BARAT,238.03
2015,SULAWESI BARAT,258.7
2017,SULAWESI BARAT,312.89
2018,SULAWESI BARAT,345.28
2019,SULAWESI BARAT,380.08
2020,SULAWESI BARAT,423.96
2021,SULAWESI BARAT,439.49
2022,SULAWESI BARAT,470.21
2023,SULAWESI BARAT,518.33
2024,SULAWESI BARAT,570.49
2011,SULAWESI SELATAN,3246.42
2012,SULAWESI SELATAN,3639.63
2013,SULAWESI SELATAN,4156.49
2014,SULAWESI SELATAN,4339.22
2015,SULAWESI SELATAN,4479.46
2017,SULAWESI SELATAN,5172.5
2018,SULAWESI SELATAN,5472.48
2019,SULAWESI SELATAN,5945.56
2020,SULAWESI SELATAN,5977.48
2021,SULAWESI SELATAN,6597.87
2022,SULAWESI SELATAN,7856.64
2023,SULAWESI SELATAN,8558.03
2024,SULAWESI SELATAN,8732.55
2011,SULAWESI TENGAH,574.71
2012,SULAWESI TENGAH,686.19
2013,SULAWESI TENGAH,758.7
2014,SULAWESI TENGAH,865.77
2015,SULAWESI TENGAH,948.78
2017,SULAWESI TENGAH,1068.79
2018,SULAWESI TENGAH,1171.08
2019,SULAWESI TENGAH,1146.23
2020,SULAWESI TENGAH,1271.06
2021,SULAWESI TENGAH,1353.85
2022,SULAWESI TENGAH,1420.38
2023,SULAWESI TENGAH,1602.92
2024,SULAWESI TENGAH,1804.62
2011,SULAWESI TENGGARA,441.08
2012,SULAWESI TENGGARA,528.42
2013,SULAWESI TENGGARA,621.64
2014,SULAWESI TENGGARA,670.71
2015,SULAWESI TENGGARA,703.59
2017,SULAWESI TENGGARA,850.7
2018,SULAWESI TENGGARA,911.73
2019,SULAWESI TENGGARA,986.89
2020,SULAWESI TENGGARA,1063.52
2021,SULAWESI TENGGARA,1149.84
2022,SULAWESI TENGGARA,1213.9
2023,SULAWESI TENGGARA,1342.95
2024,SULAWESI TENGGARA,1614.48
2011,SULAWESI UTARA,986.62
2012,SULAWESI UTARA,1087.08
2013,SULAWESI UTARA,1192.52
2014,SULAWESI UTARA,1240.32
2015,SULAWESI UTARA,1302.58
2017,SULAWESI UTARA,1544.87
2018,SULAWESI UTARA,1676.89
2019,SULAWESI UTARA,1787.87
2020,SULAWESI UTARA,1862.28
2021,SULAWESI UTARA,1940.26
2022,SULAWESI UTARA,1966.05
2023,SULAWESI UTARA,2095.38
2024,SULAWESI UTARA,2164.19
2011,SUMATERA BARAT,2403.1
2012,SUMATERA BARAT,2649.08
2013,SUMATERA BARAT,2712.85
2014,SUMATERA BARAT,3005.26
2015,SUMATERA BARAT,3063.28
2017,SUMATERA BARAT,3415.29
2018,SUMATERA BARAT,3496.18
2019,SUMATERA BARAT,3445.08
2020,SUMATERA BARAT,3429.29
2021,SUMATERA BARAT,3646.2
2022,SUMATERA BARAT,3630.43
2023,SUMATERA BARAT,3810.84
2024,SUMATERA BARAT,3955.88
2011,SUMATERA SELATAN,2978.86
2012,SUMATERA SELATAN,3863.12
2013,SUMATERA SELATAN,4162.09
2014,SUMATERA SELATAN,4477.49
2015,SUMATERA SELATAN,4783.02
2017,SUMATERA SELATAN,5239.35
2018,SUMATERA SELATAN,5501.26
2019,SUMATERA SELATAN,5258.23
