tahun,provinsi,population
2021,SULAWESI UTARA,2638600
2022,SULAWESI UTARA,2659500
2023,SULAWESI UTARA,2681500
2024,SULAWESI UTARA,2701800
2017,SUMATERA BARAT,5321500
2018,SUMATERA BARAT,5382100
2019,SUMATERA BARAT,5441200
2020,SUMATERA BARAT,5534500
2021,SUMATERA BARAT,5580200
2022,SUMATERA BARAT,5640600
2023,SUMATERA BARAT,5757200
2024,SUMATERA BARAT,5836200
2017,SUMATERA SELATAN,8267000
2018,SUMATERA SELATAN,8370300
2019,SUMATERA SELATAN,8470700
2020,SUMATERA SELATAN,8467400
2021,SUMATERA SELATAN,8550900
2022,SUMATERA SELATAN,8657000
2023,SUMATERA SELATAN,8743500
2024,SUMATERA SELATAN,8837300
2017,SUMATERA UTARA,14262100
2018,SUMATERA UTARA,14415400
2019,SUMATERA UTARA,14562500
2020,SUMATERA UTARA,14799400
2021,SUMATERA UTARA,14936200
2022,SUMATERA UTARA,15115200
2023,SUMATERA UTARA,15386600
2024,SUMATERA UTARA,15588500
