tahun,provinsi,pdrb_miliar
2020,SULAWESI UTARA,132230.06
2021,SULAWESI UTARA,142620.42
2022,SULAWESI UTARA,157039.46
2023,SULAWESI UTARA,171969.42
2024,SULAWESI UTARA,187374.29
2017,SUMATERA BARAT,213893.47
2018,SUMATERA BARAT,230367.22
2019,SUMATERA BARAT,245949.74
2020,SUMATERA BARAT,241894.13
2021,SUMATERA BARAT,253100.2
2022,SUMATERA BARAT,285375.36
2023,SUMATERA BARAT,312811.02
2024,SUMATERA BARAT,333145.84
2017,SUMATERA SELATAN,382885.7
2018,SUMATERA SELATAN,419392.16
2019,SUMATERA SELATAN,453402.71
2020,SUMATERA SELATAN,454607.4
2021,SUMATERA SELATAN,493636.85
2022,SUMATERA SELATAN,590079.43
2023,SUMATERA SELATAN,629168.67
2024,SUMATERA SELATAN,663961.72
2017,SUMATERA UTARA,684634.43
2018,SUMATERA UTARA,741347.43
2019,SUMATERA UTARA,799608.95
2020,SUMATERA UTARA,811188.31
2021,SUMATERA UTARA,859934.26
2022,SUMATERA UTARA,955193.09
2023,SUMATERA UTARA,1050995.41
2024,SUMATERA UTARA,1146919.76
